date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:43	110410/110410	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Jun%202021%2007:42:42%20GMT	https://snsm.edu.ph/	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/index.html	(from )
15:42:43	107/107	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Jun%202021%2007:42:43%20GMT	https://snsm.edu.ph/robots.txt		(from )
15:42:44	5842/5842	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Jun%202021%2007:42:44%20GMT	https://gmpg.org/xfn/11	C:/My%20Web%20Sites/School%20Site/gmpg.org/xfn/11.html	(from https://snsm.edu.ph/)
15:42:44	7056/7056	---MCZ	200	added ('OK')	text/css	etag:W/%226078b2ae-1b90%22	https://snsm.edu.ph/wp-content/plugins/learnpress-course-review/assets/css/course-review.css?ver=5.7.2	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/learnpress-course-review/assets/css/course-review9f31.css	(from https://snsm.edu.ph/)
15:42:44	1854/1854	---MCZ	200	added ('OK')	text/css	etag:W/%226078b286-73e%22	https://snsm.edu.ph/wp-content/plugins/learnpress-wishlist/assets/css/wishlist.css?ver=5.7.2	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/learnpress-wishlist/assets/css/wishlist9f31.css	(from https://snsm.edu.ph/)
15:42:45	21763/21763	---MCZ	200	added ('OK')	text/css	etag:W/%225f5530b0-5503%22	https://snsm.edu.ph/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=6.11.1	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider3584.css	(from https://snsm.edu.ph/)
15:42:45	1588/1588	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jun%202021%2007:42:45%20GMT	http://fonts.googleapis.com/	C:/My%20Web%20Sites/School%20Site/fonts.googleapis.com/index.html	(from https://snsm.edu.ph/)
15:42:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Jun%202021%2007:42:45%20GMT	http://s.w.org/	C:/My%20Web%20Sites/School%20Site/s.w.org/index.html	(from https://snsm.edu.ph/)
15:42:45	58171/58171	---MCZ	200	added ('OK')	text/css	etag:W/%226078b260-e33b%22	https://snsm.edu.ph/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-includes/css/dist/block-library/style.min9f31.css	(from https://snsm.edu.ph/)
15:42:45	2714/2714	---MCZ	200	added ('OK')	text/css	etag:W/%22604feeab-a9a%22	https://snsm.edu.ph/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.2	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-includes/css/dist/block-library/theme.min9f31.css	(from https://snsm.edu.ph/)
15:42:46	3276/3276	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bcb-ccc%22	https://snsm.edu.ph/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=4.9.1	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style5859.css	(from https://snsm.edu.ph/)
15:42:46	178665/178665	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bcb-2b9e9%22	https://snsm.edu.ph/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=4.9.1	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style5859.css	(from https://snsm.edu.ph/)
15:42:46	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jun%202021%2007:42:46%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/School%20Site/fonts.gstatic.com/index.html	(from https://snsm.edu.ph/)
15:42:46	2640/2640	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9be9-a50%22	https://snsm.edu.ph/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.1	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/contact-form-7/includes/css/stylesc225.css	(from https://snsm.edu.ph/)
15:42:46	1162/1162	---MCZ	200	added ('OK')	text/css	etag:W/%22604c2928-48a%22	https://snsm.edu.ph/wp-content/plugins/theme-my-login/assets/styles/theme-my-login.min.css?ver=7.1.3	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/theme-my-login/assets/styles/theme-my-login.min55e2.css	(from https://snsm.edu.ph/)
15:42:47	17925/17925	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bcb-4605%22	https://snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=5.3.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9a8d.css	(from https://snsm.edu.ph/)
15:42:47	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bcb-1b83%22	https://snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=5.3.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9a8d.css	(from https://snsm.edu.ph/)
15:42:47	62803/62803	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bcb-f553%22	https://snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=5.3.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/woocommerce9a8d.css	(from https://snsm.edu.ph/)
15:42:47	3611/3611	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bc2-e1b%22	https://snsm.edu.ph/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view.css?ver=1.6.1	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view51a2.css	(from https://snsm.edu.ph/)
15:42:48	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Jun%202021%2007:42:47%20GMT	http://snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/prettyPhoto.e005e.delayed	(from https://snsm.edu.ph/)
15:42:48	2641/2641	---MC-	200	added ('OK')	application/rss+xml	etag:%220c292cb1e1590ddd1047403cebee4701%22	https://snsm.edu.ph/feed/	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/feed/index.html	(from https://snsm.edu.ph/)
15:42:48	9437/9437	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bcb-24dd%22	https://snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://snsm.edu.ph/)
15:42:48	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9bba-a46%22	https://snsm.edu.ph/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://snsm.edu.ph/)
15:42:48	293/293	---MCZ	200	added ('OK')	text/css	etag:W/%2260118f11-125%22	https://snsm.edu.ph/wp-content/plugins/meks-simple-flickr-widget/css/style.css?ver=1.1.4	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/meks-simple-flickr-widget/css/style8daf.css	(from https://snsm.edu.ph/)
15:42:48	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%226078b260-e688%22	https://snsm.edu.ph/wp-includes/css/dashicons.min.css?ver=5.7.2	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-includes/css/dashicons.min9f31.css	(from https://snsm.edu.ph/)
15:42:49	17232/17232	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9b9e-4350%22	https://snsm.edu.ph/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from https://snsm.edu.ph/)
15:42:49	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9b9e-4824%22	https://snsm.edu.ph/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.2.3	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/elementor/assets/lib/animations/animations.mine5ca.css	(from https://snsm.edu.ph/)
15:42:49	768/768	---MC-	200	added ('OK')	application/rss+xml	etag:%2281c607d30a5d11896bd76a08e8fa6cbd%22	https://snsm.edu.ph/comments/feed/	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/comments/feed/index.html	(from https://snsm.edu.ph/)
15:42:49	3854/3854	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9b9e-f0e%22	https://snsm.edu.ph/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.2.3	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/elementor/assets/css/frontend-legacy.mine5ca.css	(from https://snsm.edu.ph/)
15:42:49	117789/117789	---MCZ	200	added ('OK')	text/css	etag:W/%22609d9eac-1cc1d%22	https://snsm.edu.ph/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1620942508	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/uploads/elementor/css/custom-frontend.minee95.css	(from https://snsm.edu.ph/)
15:42:50	191420/191420	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222ebbc-5c23ce7c8ff4f%22	https://snsm.edu.ph/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://snsm.edu.ph/)
15:42:50	1079/1079	---MCZ	200	added ('OK')	text/css	etag:W/%22609daef0-437%22	https://snsm.edu.ph/wp-content/uploads/elementor/css/post-1973.css?ver=1620946672	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/uploads/elementor/css/post-1973de99.css	(from https://snsm.edu.ph/)
15:42:50	22761/22761	---MCZ	200	added ('OK')	text/css	etag:W/%22609daef2-58e9%22	https://snsm.edu.ph/wp-content/uploads/elementor/css/global.css?ver=1620946674	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/uploads/elementor/css/global514e.css	(from https://snsm.edu.ph/)
15:42:50	12901/12901	---MCZ	200	added ('OK')	text/css	etag:W/%22609daef2-3265%22	https://snsm.edu.ph/wp-content/uploads/elementor/css/post-2001.css?ver=1620946674	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/uploads/elementor/css/post-2001514e.css	(from https://snsm.edu.ph/)
15:42:51	1268/1268	---MC-	200	added ('OK')	text/css	date:Wed,%2023%20Jun%202021%2007:42:50%20GMT	http://fonts.googleapis.com/css?family=Roboto%3A400%2C400i%2C500%2C500i%2C700%2C700i%26subset%3Dlatin%2Clatin-ext&ver=4.0	C:/My%20Web%20Sites/School%20Site/fonts.googleapis.com/cssa5c9.css	(from https://snsm.edu.ph/)
15:42:51	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%225f55d665-1d970%22	https://snsm.edu.ph/wp-content/themes/eikra/assets/css/bootstrap.min.css?ver=4.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/themes/eikra/assets/css/bootstrap.minf9b8.css	(from https://snsm.edu.ph/)
15:42:51	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225f55d665-7918%22	https://snsm.edu.ph/wp-content/themes/eikra/assets/css/font-awesome.min.css?ver=4.0	C:/My%20Web%20Sites/School%20Site/snsm.edu.ph/wp-content/themes/eikra/assets/css/font-awesome.minf9b8.css	(from https://snsm.edu.ph/)
